313 :{ 26349 , 83 }
314 :{ 26433 , 86 }
315 :{ 26520 , 85 }
316 :{ 26606 , 82 }
317 :{ 26689 , 79 }
318 :{ 26769 , 86 }
319 :{ 26856 , 84 }
320 :{ 26941 , 82 }
321 :{ 27024 , 81 }
322 :{ 27106 , 76 }
323 :{ 27183 , 80 }
324 :{ 27264 , 73 }
325 :{ 27338 , 83 }
326 :{ 27422 , 83 }
327 :{ 27506 , 79 }
328 :{ 27586 , 79 }
329 :{ 27666 , 81 }
330 :{ 27748 , 87 }
331 :{ 27836 , 89 }
332 :{ 27926 , 88 }
333 :{ 28015 , 84 }
334 :{ 28100 , 83 }
335 :{ 28184 , 77 }
336 :{ 28262 , 92 }
337 :{ 28355 , 78 }
338 :{ 28434 , 86 }
339 :{ 28521 , 89 }
340 :{ 28611 , 88 }
341 :{ 28700 , 72 }
342 :{ 28773 , 76 }
343 :{ 28850 , 75 }
344 :{ 28926 , 74 }
345 :{ 29001 , 88 }
346 :{ 29090 , 81 }
347 :{ 29172 , 89 }
348 :{ 29262 , 91 }
349 :{ 29354 , 91 }
350 :{ 29446 , 84 }
351 :{ 29531 , 82 }
352 :{ 29614 , 80 }
353 :{ 29695 , 87 }
354 :{ 29783 , 77 }
355 :{ 29861 , 74 }
356 :{ 29936 , 80 }
357 :{ 30017 , 84 }
358 :{ 30102 , 83 }
359 :{ 30186 , 88 }
360 :{ 30275 , 83 }
361 :{ 30359 , 85 }
362 :{ 30445 , 85 }
363 :{ 30531 , 83 }
364 :{ 30615 , 84 }
365 :{ 30700 , 92 }
366 :{ 30793 , 88 }
367 :{ 30882 , 91 }
368 :{ 30974 , 83 }
369 :{ 31058 , 80 }
370 :{ 31139 , 83 }
371 :{ 31223 , 75 }
372 :{ 31299 , 80 }
373 :{ 31380 , 74 }
374 :{ 31455 , 93 }
375 :{ 31549 , 92 }
376 :{ 31642 , 91 }
377 :{ 31734 , 84 }
378 :{ 31819 , 88 }
379 :{ 31908 , 79 }
380 :{ 31988 , 87 }
381 :{ 32076 , 81 }
382 :{ 32158 , 83 }
383 :{ 32242 , 89 }
384 :{ 32332 , 91 }
385 :{ 32424 , 84 }
386 :{ 32509 , 78 }
387 :{ 32588 , 58 }
388 :{ 32647 , 83 }
389 :{ 32731 , 93 }
390 :{ 32825 , 92 }
391 :{ 32918 , 93 }
392 :{ 33012 , 92 }
393 :{ 33105 , 79 }
394 :{ 33185 , 78 }
395 :{ 33264 , 92 }
396 :{ 33357 , 92 }
397 :{ 33450 , 82 }
398 :{ 33533 , 80 }
399 :{ 33614 , 84 }
400 :{ 33699 , 81 }
401 :{ 33781 , 80 }
402 :{ 33862 , 83 }
403 :{ 33946 , 80 }
404 :{ 34027 , 91 }
405 :{ 34119 , 87 }
406 :{ 34207 , 91 }
407 :{ 34299 , 85 }
408 :{ 34385 , 88 }
409 :{ 34474 , 89 }
410 :{ 34564 , 88 }
411 :{ 34653 , 88 }
412 :{ 34742 , 81 }
413 :{ 34824 , 77 }
414 :{ 34902 , 81 }
415 :{ 34984 , 83 }
416 :{ 35068 , 94 }
417 :{ 35163 , 92 }
418 :{ 35256 , 76 }
419 :{ 35333 , 88 }
420 :{ 35422 , 78 }
421 :{ 35501 , 83 }
422 :{ 35585 , 76 }
423 :{ 35662 , 87 }
424 :{ 35750 , 88 }
425 :{ 35839 , 91 }
426 :{ 35931 , 90 }
427 :{ 36022 , 89 }
428 :{ 36112 , 85 }
429 :{ 36198 , 93 }
430 :{ 36292 , 88 }
431 :{ 36381 , 85 }
432 :{ 36467 , 82 }
433 :{ 36550 , 90 }
434 :{ 36641 , 82 }
435 :{ 36724 , 79 }
436 :{ 36804 , 86 }
437 :{ 36891 , 90 }
438 :{ 36982 , 85 }
439 :{ 37068 , 78 }
440 :{ 37147 , 80 }
441 :{ 37228 , 80 }
442 :{ 37309 , 89 }
443 :{ 37399 , 86 }
444 :{ 37486 , 90 }
445 :{ 37577 , 88 }
446 :{ 37666 , 86 }
447 :{ 37753 , 90 }
448 :{ 37844 , 86 }
449 :{ 37931 , 80 }
450 :{ 38012 , 89 }
451 :{ 38102 , 91 }
452 :{ 38194 , 89 }
453 :{ 38284 , 84 }
454 :{ 38369 , 86 }
455 :{ 38456 , 78 }
456 :{ 38535 , 71 }
457 :{ 38607 , 92 }
458 :{ 38700 , 92 }
459 :{ 38793 , 86 }
460 :{ 38880 , 81 }
461 :{ 38962 , 81 }
462 :{ 39044 , 76 }
463 :{ 39121 , 82 }
464 :{ 39204 , 76 }
465 :{ 39281 , 72 }
466 :{ 39354 , 85 }
467 :{ 39440 , 80 }
468 :{ 39521 , 86 }
469 :{ 39608 , 91 }
470 :{ 39700 , 89 }
471 :{ 39790 , 92 }
